Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
22500,520.4627509969757,476.0591912392623
22600,522.2002522028159,477.3166241035277
22700,523.484793871899,478.643905043598
22800,524.989189809935,480.4419978205721
22900,526.6498687722553,481.38234485626054
23000,528.2136189943192,482.9164458977665
23100,529.5168205270884,484.51521275991246
23200,530.7803339512626,485.8031208832898
23300,532.7520947575343,487.1961448214148
23400,534.18540014822,488.55085843099266
23500,535.5572059718509,489.43107482126186
23600,537.1369586732217,490.9957293044439
23700,538.3713867512085,492.21472515859466
23800,539.6818985588901,493.390010629738
23900,541.6186207924977,495.00079160142343
24000,543.3995683510616,496.34245407879837
24100,544.7276938758375,498.0317241013521
24200,546.0237193125852,499.76531327539476
24300,547.881388314184,501.484934574796
24400,549.3673102571748,502.5677442648154
24500,550.8547762360243,504.1918374215006
24600,552.1209742070394,505.5893182012975
24700,553.3232656101138,506.72286285650034
24800,554.1483324451434,507.82700494371704
24900,555.4725280843161,508.9924201322798
25000,557.1067762179548,510.0896522199382
25100,558.5605011047301,511.54775249561646
25200,560.0484746563063,512.8239100576541
25300,561.75145884014,514.2431436683843
25400,563.2679193395193,515.4653733312841
25500,565.1879338509882,516.3803324770753
25600,567.0455080758576,518.1413825978791
25700,568.5994701182302,519.3895554647332
25800,569.7368188130459,520.7505701137155
25900,571.1313736759319,521.8762202591206
26000,572.4207068021265,522.5802152214861
26100,573.7625065537633,523.9419683123565
26200,575.3174715885923,525.6135106318725
26300,576.6833330351076,526.8759626570284
26400,577.7290063293042,528.0726778096765
26500,579.1985769428591,529.2412541142878
26600,581.0268949244858,530.7106745969329
26700,582.7709621228289,531.9910875049576
26800,584.2309616319595,533.3114740422559
26900,585.656971905997,534.3142886427175
27000,587.3865714902681,535.5012079443943
27100,588.5734843369021,536.9028044343925
27200,589.8292213063648,538.5267492296109
27300,591.213425520071,539.6961501288504
27400,592.5227158908435,540.825063065065
27500,594.010419122523,542.5224157785077
27600,595.247839260868,544.0625775610443
27700,596.3067966111901,545.5959274111966
27800,597.3653282091,547.1914160120288
27900,598.8281631114402,548.7238639873523
28000,600.5309265490408,550.1419371295913
28100,601.7034665526901,551.3482925806427
28200,603.497889982437,552.376097398321
28300,604.6989286331119,554.0261970015467
28400,605.9890691460287,555.2180012961826
28500,607.3747275362634,557.215402869983
28600,608.4724277247258,558.6624878563096
28700,609.2996667103387,560.0996125589534
28800,610.766652639305,561.0374666280441
28900,612.4444052138587,562.3098982502299
29000,613.9401502836654,563.7683108068983
29100,615.4702553463868,564.6089643740419
29200,617.0991832729081,566.0805526774362
29300,618.7465577977866,567.6138810331299
29400,619.7515286302257,568.5904509981941
29500,620.8780023943671,569.293020145437
29600,621.933989582023,570.175320053531
29700,623.2138466706218,571.3719905259085
29800,624.3873266509692,572.9348748157133
29900,625.8463706987702,574.5813342572005
30000,626.8579648488054,576.1631148497528
30100,627.9915866749868,577.1589933176516
30200,629.1888445743654,578.6078320881196
30300,630.538250553025,579.7207031387954
30400,632.1652951380523,581.2053399631727
30500,633.7275643850807,582.1335537186726
30600,635.1510688525269,583.8995830919309
30700,636.4862872632256,585.3599504212553
30800,637.713022057535,587.0389288404602
30900,639.1407024415284,587.9436645668658
31000,640.3569279809333,588.862497665253
31100,641.6323893022789,590.2301589497686
31200,643.0899620121062,591.3390647057025
31300,644.9944473813945,592.3066012926881
31400,646.6587601285634,593.9229102988916
31500,648.1609980055587,594.6745336493152
31600,649.4543507469141,595.9551643262623
31700,650.5726918356693,597.2091251083423
31800,651.6985387065631,598.1611680543447
31900,653.1788924541586,599.224713580358
32000,654.2834247605135,600.7073805317629
32100,655.7116300443387,601.6560399470425
32200,657.0603751154711,602.9253889666679
32300,658.409171390577,604.2179525039807
32400,659.3496960078429,605.5250961477954
32500,660.4905489246213,607.0577621754436
32600,661.6927617982412,608.2725072312527
32700,663.0651366864495,609.6223239483353
32800,664.2830808010096,610.5252835165921
32900,665.2833784995245,611.5227514054685
33000,666.6264437509742,612.5094952056727
33100,668.1236935465395,613.6200828491853
33200,669.6842555446214,615.0362954704995
33300,670.8743989190441,616.0071226313438
33400,672.110990097393,617.0914571842687
33500,673.6761344745398,618.5433562218993
33600,674.8048905433257,619.7483864124926
33700,675.9414592331902,620.7658712195644
33800,677.2879531718424,621.6637309187572
33900,678.8205523439498,623.2192982912654
34000,680.2775559813969,624.2628340241696
34100,681.6142925749787,625.3590180220754
34200,683.0544431714432,626.561542316896
34300,684.2928682618958,628.2466305597385
34400,685.5325056223835,629.2904099944196
34500,687.0839126582723,630.4118937823621
34600,688.3517054255501,631.8310340348485
34700,689.9478812777537,633.1105623223049
34800,691.18912832112,634.2430822187677
34900,692.2358687859639,635.0620534731443
35000,693.8308531907426,636.1778775439149
35100,695.3361284903083,637.5276513859446
35200,696.6735976915827,638.3841696136319
35300,698.467530396398,639.6588335559957
35400,699.712499274,641.346703569491
35500,700.8721055756264,642.9115575320509
35600,702.4175358567575,644.1466519880881
35700,703.4810552434839,645.5687854161954
35800,704.6590486445077,646.7743127776697
35900,706.1024369147101,648.1120585026124
36000,707.5197257947174,649.5294948008752
36100,708.9562919041115,650.4185295531872
36200,709.7373769154703,651.9165589062343
36300,710.6788709799564,652.6467822581399
36400,712.5083739395659,653.4632655122703
36500,713.8730265838794,654.5996351516704
36600,715.1351969454176,655.9568216501491
36700,716.224257831547,657.296829344796
36800,717.5345074301956,658.2283868579433
36900,718.8180594792103,658.9489131486462
37000,720.0468571311817,659.6449895841276
37100,721.7188254770981,661.0312787834571
37200,723.1373712146195,662.1089731350435
37300,724.1916128531732,662.8993745888488
37400,725.518330791944,663.8268985598606
37500,726.408422636715,664.9923080851893
37600,727.7959330884278,666.5186583385115
37700,729.354148954528,667.6366029860701
37800,730.5283089791977,668.522739223132
37900,731.6654557083668,669.354742013185
38000,733.0684676684103,670.4277039502358
38100,734.3211918367564,671.6016157410475
38200,735.7320435546881,672.7533594539638
38300,737.0622418747447,673.7669864545767
38400,738.4672004541984,674.790584199284
38500,739.5744196027302,676.3600105172067
38600,740.8129470439787,677.5970314998932
38700,741.6838566526469,678.5495126434873
38800,743.4760255381245,679.6834917929625
38900,744.2607554851638,680.6626537624034
39000,745.3647731537233,681.816930975924
39100,746.8052733965258,683.3820495062648
39200,748.2054568172164,684.5455831219136
39300,749.5492146117952,685.5841142518436
39400,750.6961625947754,686.9101045014296
39500,751.8572363943233,688.3150853052485
39600,753.142642626922,689.5984319501837
39700,754.2194698244343,690.676744837204
39800,755.5143809974757,691.7439918799487
39900,756.9608635254095,692.5920597532981
40000,758.0563376823859,693.6238701616876
40100,758.8978176984988,694.8730831581096
40200,760.0489311475187,696.04173500164
40300,761.484858156305,697.199075498511
40400,762.7088846203803,698.4913469036644
40500,763.8526419010456,700.007251243589
40600,765.2088945675347,701.3509818638352
40700,766.6456479553353,702.3163349500876
40800,768.0020930681561,703.320323972298
40900,769.0388592432101,704.4762067911679
41000,770.0466746580319,705.6382962693086
41100,771.116643595023,706.8857899464131
41200,771.9767684870629,707.8431779946587
41300,773.2849546773825,709.1036631289619
41400,774.4148808300861,710.6000817537368
41500,775.8008576965725,711.8298149227132
41600,777.3361589876572,713.1927878103161
41700,778.5991911865934,714.3493309773181
41800,779.8699749595759,715.3958781581093
41900,781.2523944551554,716.0613582998888
42000,782.7001663412374,717.3643763725285
42100,784.1462429154483,718.8740946393409
42200,785.3483706643735,720.0256620761661
42300,786.4541677388045,721.0791831458444
42400,787.613633633221,721.9871053619996
42500,788.887499717846,723.241326547684
42600,790.1186487973234,724.3627501521607
42700,791.5785346855183,725.357013318245
42800,792.7585885690908,726.6313263668676
42900,794.3749465817034,728.1444133927943
43000,795.4585183703224,729.3165659606091
43100,796.8028844123448,730.2959182070674
43200,798.2947803931563,731.3313848510168
43300,799.3903305169108,732.4167553624941
43400,800.4366222602886,733.4143364543885
43500,802.178665407582,734.2562163117252
43600,803.5844292874275,735.6583932478994
43700,804.5082432634598,737.1068956669885
43800,806.0385441724994,738.378958016148
43900,807.5711597456992,739.0079503046311
44000,808.5962082988821,740.2185842204915
44100,809.8076201421227,740.9919888886445
44200,810.882701839975,741.8571036853926
44300,812.1934646121124,743.2543506251899
44400,813.6044018044797,744.9098337106675
44500,814.3815843038469,746.3311525553648
44600,815.3101630740026,747.6898794596589
44700,816.0719591547379,748.9393379025153
44800,817.0650397076586,749.971146210414
44900,818.2057121181568,751.2081650131064
45000,819.1714202548861,752.526956182869
