Time(Iteration),GeneralizedLinearBandit
63400,3784.8065545398786
63500,3787.6410602644005
63600,3790.7044930099955
63700,3793.751725556499
63800,3796.3835786571058
63900,3799.429831363661
64000,3801.6316330121726
64100,3804.4790046664652
64200,3806.689841766951
64300,3809.1427215341623
64400,3811.6521452213155
64500,3813.7910938624796
64600,3816.5268961621173
64700,3819.577225168961
64800,3822.351710593928
64900,3824.7531093244006
65000,3827.4504995257266
65100,3830.241758841762
65200,3833.2838576450586
65300,3836.178717233911
65400,3839.4096156676687
65500,3841.8450427108255
65600,3844.4083067355505
65700,3846.873834119969
65800,3849.37002347506
65900,3851.6108345522225
66000,3854.4364015426677
66100,3856.983743382192
66200,3860.1298643013897
66300,3862.403610108298
66400,3864.8427149084973
66500,3867.6037614863867
66600,3870.378537775911
66700,3872.8942167030787
66800,3875.654331812265
66900,3878.3333968320962
67000,3880.952274873582
67100,3884.2542511052934
67200,3886.5916900778707
67300,3889.2807614631793
67400,3891.6339459707146
67500,3894.5130578645267
67600,3897.184299086041
67700,3899.4678537163554
67800,3902.099817437344
67900,3904.5787190809983
68000,3907.675820776345
68100,3910.2617106247744
68200,3912.78022105909
68300,3915.6309198995114
68400,3918.207078305998
68500,3921.1498446842875
68600,3924.053208242868
68700,3926.8346221890374
68800,3929.2758722125945
68900,3931.6202028160305
69000,3934.5105223355154
69100,3937.2704630607454
69200,3939.5608680393498
69300,3942.265847241214
69400,3945.0343346003456
69500,3947.354744067196
69600,3949.919358690315
69700,3952.425274818526
69800,3955.512258474423
69900,3958.3559124139574
70000,3960.468014907389
70100,3962.9492967617107
70200,3965.3256858739505
70300,3968.0091192344044
70400,3970.005600057859
70500,3972.259321065759
70600,3974.544478148501
70700,3977.3012461551684
70800,3980.216825649709
70900,3983.0668468854165
71000,3985.6124731243135
71100,3988.2355799875213
71200,3990.5132128393698
71300,3993.1920537578276
71400,3995.1983940337013
71500,3998.2302589707842
71600,4000.997348659244
71700,4004.1529857852497
71800,4006.5533062819777
71900,4009.249409700283
72000,4012.3566528270508
72100,4014.974603783394
72200,4017.5750873729157
72300,4020.1116271967876
72400,4021.613560183144
72500,4023.7516118903973
72600,4026.231520432705
72700,4028.770269368234
72800,4031.0241141149554
72900,4033.8379044368303
73000,4036.5505100243595
73100,4038.8691282298255
73200,4041.149543489091
73300,4043.4407508686904
73400,4046.046703243546
73500,4048.704382479739
73600,4051.4334618654584
73700,4053.4875985215767
73800,4055.859369470346
73900,4057.8411765624323
74000,4059.7770681747597
74100,4062.3967052622966
74200,4064.53984784148
74300,4067.5139760412976
74400,4069.5188011707155
74500,4071.4198042204052
74600,4073.594317731417
74700,4076.372595820113
74800,4078.5589077574914
74900,4081.143493710697
75000,4083.8480915987443
75100,4086.0957016405655
75200,4088.6541674728333
75300,4091.347998072649
75400,4093.706226312427
75500,4096.370548258865
75600,4099.021138747735
75700,4101.077572762197
75800,4103.166008319399
75900,4105.892543835061
76000,4108.304108364285
76100,4110.481103673024
76200,4112.24560827824
76300,4114.786429997127
76400,4117.976374871345
76500,4120.165672067733
76600,4122.522519096959
76700,4125.050308211059
76800,4127.213239808455
76900,4129.386518099356
77000,4132.1372721262605
77100,4134.3122718090435
77200,4136.414624704834
77300,4138.7491121114035
77400,4141.212625682763
77500,4143.265954055336
77600,4145.365344200117
77700,4147.67836118267
77800,4149.8364150287825
77900,4152.235423816691
78000,4154.7286962077615
78100,4156.5883442230515
78200,4158.7717941587125
78300,4161.352722150364
78400,4163.530052309801
78500,4166.240363140667
78600,4168.422232860998
78700,4170.745615278948
78800,4172.697408953368
78900,4174.862737873128
79000,4176.980788656409
79100,4179.1928888868915
79200,4181.018763372808
79300,4182.637934335914
79400,4184.794489106293
79500,4187.05563505848
79600,4189.150167161455
79700,4191.439218865305
79800,4194.093809828066
79900,4196.101267467844
80000,4197.845595271146
80100,4199.5557406151565
80200,4201.613331621058
80300,4203.293735706961
80400,4205.304612479476
80500,4207.707665604159
80600,4210.166238103819
80700,4212.358480979019
80800,4214.150391628156
80900,4216.279323197208
81000,4217.918454377434
81100,4220.083565132115
81200,4222.548137875937
81300,4224.669117185496
81400,4226.926484963313
81500,4228.7838401283925
81600,4231.0507407161995
81700,4233.241256277452
81800,4235.24259691976
81900,4237.406478103614
82000,4239.774587405087
82100,4242.260422906564
82200,4244.5701945863675
82300,4246.78177122156
82400,4249.4515149772
82500,4252.3439516153285
82600,4254.789870641967
82700,4257.104234527042
82800,4259.905581606916
82900,4262.166920562063
83000,4264.075235911647
83100,4266.55797831393
83200,4269.076870117615
83300,4271.526391058635
83400,4273.27170757306
83500,4275.817406938396
83600,4278.459844667055
83700,4281.121057815178
83800,4283.131369776812
83900,4286.327820686964
84000,4288.719541226406
84100,4290.97166653991
84200,4293.254849094516
84300,4295.464192293809
84400,4297.941171136571
84500,4300.13811779616
84600,4302.831662853308
84700,4304.673089069632
84800,4306.398050523958
84900,4308.357014205505
85000,4310.6699533798
85100,4312.728803816054
85200,4314.687131767217
85300,4316.987745145254
85400,4319.531594631708
85500,4321.868841935636
85600,4324.174570757628
85700,4326.467513317053
85800,4328.204717414084
85900,4330.754725325716
86000,4333.447156594884
86100,4335.077538105059
86200,4336.976839566822
86300,4339.650898687416
86400,4341.670519431765
86500,4343.498280307341
86600,4345.535092666716
86700,4347.582076516254
86800,4349.786534576166
86900,4351.920677445162
87000,4353.62282262846
87100,4355.611914585922
87200,4357.570777610554
87300,4360.373337049263
87400,4362.409308352786
87500,4364.847615576871
87600,4367.068027019802
87700,4369.3986998015835
87800,4371.797936746571
87900,4373.692958493028
88000,4376.158708458671
88100,4378.8032164639335
88200,4380.727484003071
88300,4382.593905611559
88400,4384.6220114480075
88500,4387.238834290581
88600,4389.705616468255
88700,4391.673714474249
88800,4393.922886153463
88900,4395.37566165973
89000,4397.47233272824
89100,4399.454563044737
89200,4401.379928553195
89300,4403.536579484229
89400,4405.165749068203
89500,4406.701427297389
89600,4408.317561097177
89700,4410.283233742378
89800,4412.113249539207
89900,4414.239938507885
90000,4415.950993974822
90100,4418.385104511852
90200,4420.75791680578
90300,4422.606263058627
90400,4424.648887003625
90500,4426.745090247298
90600,4428.596039852165
90700,4430.113028184724
90800,4432.3753929301565
90900,4434.393269909216
91000,4436.174701760965
91100,4438.382494905186
91200,4440.522802547558
91300,4442.732401020266
91400,4444.7574748694715
91500,4446.903960620443
91600,4449.318828308255
91700,4451.227641379874
91800,4453.497589311259
91900,4455.457803361582
92000,4457.523183379664
92100,4459.532338024906
92200,4461.390102085325
92300,4463.254634929495
92400,4465.565566547657
92500,4467.536812046307
92600,4469.261479955563
92700,4471.39380366814
92800,4472.97717073041
92900,4475.367432774383
93000,4477.425251717637
93100,4479.447941795559
93200,4481.408668179101
93300,4482.976344749589
93400,4484.817641885318
93500,4487.677030746044
93600,4490.1392826014
93700,4492.659223991257
93800,4494.6919807372615
93900,4495.896312476946
94000,4498.207658068322
94100,4500.182649713688
94200,4502.585931362666
94300,4504.891586964516
94400,4507.231021831343
94500,4508.954338764491
94600,4511.0524369415225
94700,4513.139517105951
94800,4515.268637830385
94900,4517.628240154311
95000,4519.463345628607
95100,4521.159634574658
95200,4523.349866033455
95300,4525.275400954269
95400,4527.091899200105
95500,4529.0902429599155
95600,4531.06096829786
95700,4532.950940694681
95800,4534.547939367586
95900,4536.199433425448
96000,4537.93263708457
96100,4539.820548179539
96200,4541.383130753338
96300,4543.311480650774
96400,4544.918485020689
96500,4546.896956201734
96600,4549.226581524614
96700,4551.4327143029095
96800,4552.854083650773
96900,4554.7509355368375
